    0,   16
   21,    2
   24,    1
   27,    1
   34,    1
   36,    1
   41,    1
   47,    1
   49,    1
   53,    1
   56,    1
   60,    1
   65,    1
   69,    1
   72,    1
   76,    1
 2473,    1
 3123,    1
 3377,    1
 3452,    1
 3703,    1
 3705,    1
 3863,    1
 4007,    1
 4146,    1
 4148,    1
 4216,    1
 4260,    2
 4886,    1
 5144,    1
 5151,    1
 5398,    1
 5666,    1
 6950,    1
 6952,    1
 7974,    1
 8091,    1
 9109,    1
 9116,    1
 9629,    1
10385,    2
10641,    2
10649,    1
10653,    1
10799,    1
10894,    1
11057,    1
11166,    1
11313,    1
11904,    1
11920,    1
11931,    1
12080,    1
12175,    1
12336,    1
12430,    1
12437,    2
12671,    1
12678,    1
12693,    2
12700,    2
12851,    1
12936,    1
12956,    2
12959,    1
13019,    1
13103,    1
13275,    1
13358,    1
13445,    2
13453,    2
13463,    1
13531,    1
13701,    2
13709,    2
13713,    1
13790,    1
14042,    1
14215,    1
14219,    1
14239,    2
14444,    1
14468,    1
14485,    1
14701,    2
14746,    2
14956,    1
14984,    1
15248,    2
15260,    1
15295,    1
15493,    1
15504,    2
15507,    1
15756,    1
15857,    1
16008,    1
16015,    1
16034,    1
16101,    1
16107,    2
16263,    1
16277,    1
16363,    2
16537,    1
16667,    1
16773,    1
16869,    1
16875,    1
16891,    1
17031,    1
17035,    2
17283,    1
17291,    2
17299,    1
17344,    1
17399,    1
17402,    1
17535,    1
17554,    1
17599,    1
17601,    1
17646,    1
17657,    1
17855,    1
17900,    1
17903,    1
17948,    1
18159,    2
18205,    1
18403,    1
18413,    1
18415,    2
18422,    2
18429,    1
18461,    1
18558,    1
18569,    1
18572,    1
18579,    1
18586,    1
18654,    1
18678,    2
18835,    1
18840,    1
18940,    1
19159,    1
19163,    1
19167,    2
19175,    3
19354,    1
19423,    2
19431,    2
19456,    1
19689,    1
19697,    1
19709,    1
19961,    1
20118,    1
20204,    1
20375,    1
20425,    1
20442,    1
20461,    1
20468,    1
20708,    1
20713,    1
20886,    2
20935,    1
20970,    2
21083,    1
21213,    1
21226,    2
21446,    2
21732,    1
21740,    1
21851,    1
22005,    1
22012,    1
22205,    1
22207,    1
22463,    1
22502,    1
22625,    1
22719,    1
22756,    3
22774,    1
23013,    2
